step,S,I,R,beta,gamma,scenario
38,110,0,190,0.08,0.22,kill_switch
39,110,0,190,0.08,0.22,kill_switch
40,110,0,190,0.08,0.22,kill_switch
41,110,0,190,0.08,0.22,kill_switch
42,110,0,190,0.08,0.22,kill_switch
43,110,0,190,0.08,0.22,kill_switch
44,110,0,190,0.08,0.22,kill_switch
45,110,0,190,0.08,0.22,kill_switch
46,110,0,190,0.08,0.22,kill_switch
47,110,0,190,0.08,0.22,kill_switch
48,110,0,190,0.08,0.22,kill_switch
49,110,0,190,0.08,0.22,kill_switch
50,110,0,190,0.08,0.22,kill_switch
51,110,0,190,0.08,0.22,kill_switch
52,110,0,190,0.08,0.22,kill_switch
53,110,0,190,0.08,0.22,kill_switch
54,110,0,190,0.08,0.22,kill_switch
55,110,0,190,0.08,0.22,kill_switch
56,110,0,190,0.08,0.22,kill_switch
57,110,0,190,0.08,0.22,kill_switch
58,110,0,190,0.08,0.22,kill_switch
59,110,0,190,0.08,0.22,kill_switch
60,110,0,190,0.08,0.22,kill_switch
61,110,0,190,0.08,0.22,kill_switch
62,110,0,190,0.08,0.22,kill_switch
63,110,0,190,0.08,0.22,kill_switch
64,110,0,190,0.08,0.22,kill_switch
65,110,0,190,0.08,0.22,kill_switch
66,110,0,190,0.08,0.22,kill_switch
67,110,0,190,0.08,0.22,kill_switch
68,110,0,190,0.08,0.22,kill_switch
69,110,0,190,0.08,0.22,kill_switch
70,110,0,190,0.08,0.22,kill_switch
71,110,0,190,0.08,0.22,kill_switch
72,110,0,190,0.08,0.22,kill_switch
73,110,0,190,0.08,0.22,kill_switch
74,110,0,190,0.08,0.22,kill_switch
75,110,0,190,0.08,0.22,kill_switch
76,110,0,190,0.08,0.22,kill_switch
77,110,0,190,0.08,0.22,kill_switch
78,110,0,190,0.08,0.22,kill_switch
79,110,0,190,0.08,0.22,kill_switch
80,110,0,190,0.08,0.22,kill_switch
