step,country,latitude,longitude,observed_hosts,activation_step,infected_no_containment,infected_containment
4,Canada,56.1304,-106.3468,7,4,0,0
4,Indonesia,-0.7893,113.9213,6,5,0,0
4,Italy,41.8719,12.5674,6,6,0,0
4,Australia,-25.2744,133.7751,6,7,0,0
4,Russian Federation,61.524,105.3188,5,8,0,0
4,Taiwan; Republic of China (ROC),23.6978,120.9605,5,8,0,0
4,Belgium,50.5039,4.4699,5,9,0,0
4,Spain,40.4637,-3.7492,5,10,0,0
4,Korea Republic of,35.9078,127.7669,5,10,0,0
4,India,20.5937,78.9629,4,11,0,0
4,South Africa,-30.5595,22.9375,4,12,0,0
4,Netherlands,52.1326,5.2913,4,13,0,0
4,Venezuela,6.4238,-66.5897,3,14,0,0
4,Egypt,26.8206,30.8025,3,14,0,0
4,Viet Nam,14.0583,108.2772,3,15,0,0
4,Sweden,60.1282,18.6435,3,16,0,0
4,Brazil,-14.235,-51.9253,3,16,0,0
4,Latvia,56.8796,24.6032,2,17,0,0
4,Thailand,15.87,100.9925,2,18,0,0
4,New Zealand,-40.9006,174.886,2,19,0,0
4,Austria,47.5162,14.5501,2,20,0,0
4,Mexico,23.6345,-102.5528,2,20,0,0
4,Colombia,4.5709,-74.2973,2,21,0,0
4,Turkey,38.9637,35.2433,2,22,0,0
4,Norway,60.472,8.4689,1,22,0,0
4,Saudi Arabia,23.8859,45.0792,1,23,0,0
4,Hong Kong,22.3193,114.1694,1,24,0,0
4,Iran (ISLAMIC Republic Of),32.4279,53.688,1,25,0,0
4,Kazakhstan,48.0196,66.9237,1,26,0,0
4,Serbia,44.0165,21.0059,1,26,0,0
4,Israel,31.0461,34.8516,1,27,0,0
4,Denmark,56.2639,9.5018,1,28,0,0
4,Moldova Republic of,47.4116,28.3699,1,28,0,0
4,Greece,39.0742,21.8243,1,28,0,0
4,Dominican Republic,18.7357,-70.1627,1,28,0,0
4,Lithuania,55.1694,23.8813,1,28,0,0
4,Ireland,53.1424,-7.6921,1,28,0,0
4,Chile,-35.6751,-71.543,1,28,0,0
5,United States,37.0902,-95.7129,142,0,94,21
5,China,35.8617,104.1954,29,2,8,2
5,Japan,36.2048,138.2529,18,4,1,1
5,Germany,51.1657,10.4515,9,2,2,1
5,United Kingdom,55.3781,-3.436,8,3,1,0
5,France,46.2276,2.2137,8,4,1,0
5,Canada,56.1304,-106.3468,7,4,0,0
5,Indonesia,-0.7893,113.9213,6,5,0,0
5,Italy,41.8719,12.5674,6,6,0,0
5,Australia,-25.2744,133.7751,6,7,0,0
5,Russian Federation,61.524,105.3188,5,8,0,0
5,Taiwan; Republic of China (ROC),23.6978,120.9605,5,8,0,0
5,Belgium,50.5039,4.4699,5,9,0,0
5,Spain,40.4637,-3.7492,5,10,0,0
5,Korea Republic of,35.9078,127.7669,5,10,0,0
5,India,20.5937,78.9629,4,11,0,0
5,South Africa,-30.5595,22.9375,4,12,0,0
5,Netherlands,52.1326,5.2913,4,13,0,0
5,Venezuela,6.4238,-66.5897,3,14,0,0
5,Egypt,26.8206,30.8025,3,14,0,0
5,Viet Nam,14.0583,108.2772,3,15,0,0
5,Sweden,60.1282,18.6435,3,16,0,0
5,Brazil,-14.235,-51.9253,3,16,0,0
5,Latvia,56.8796,24.6032,2,17,0,0
5,Thailand,15.87,100.9925,2,18,0,0
5,New Zealand,-40.9006,174.886,2,19,0,0
5,Austria,47.5162,14.5501,2,20,0,0
5,Mexico,23.6345,-102.5528,2,20,0,0
5,Colombia,4.5709,-74.2973,2,21,0,0
5,Turkey,38.9637,35.2433,2,22,0,0
5,Norway,60.472,8.4689,1,22,0,0
5,Saudi Arabia,23.8859,45.0792,1,23,0,0
5,Hong Kong,22.3193,114.1694,1,24,0,0
5,Iran (ISLAMIC Republic Of),32.4279,53.688,1,25,0,0
5,Kazakhstan,48.0196,66.9237,1,26,0,0
5,Serbia,44.0165,21.0059,1,26,0,0
5,Israel,31.0461,34.8516,1,27,0,0
5,Denmark,56.2639,9.5018,1,28,0,0
5,Moldova Republic of,47.4116,28.3699,1,28,0,0
5,Greece,39.0742,21.8243,1,28,0,0
5,Dominican Republic,18.7357,-70.1627,1,28,0,0
5,Lithuania,55.1694,23.8813,1,28,0,0
5,Ireland,53.1424,-7.6921,1,28,0,0
5,Chile,-35.6751,-71.543,1,28,0,0
6,United States,37.0902,-95.7129,142,0,116,28
6,China,35.8617,104.1954,29,2,13,3
6,Japan,36.2048,138.2529,18,4,2,1
6,Germany,51.1657,10.4515,9,2,4,1
6,United Kingdom,55.3781,-3.436,8,3,2,1
6,France,46.2276,2.2137,8,4,1,0
6,Canada,56.1304,-106.3468,7,4,1,0
6,Indonesia,-0.7893,113.9213,6,5,0,0
6,Italy,41.8719,12.5674,6,6,0,0
6,Australia,-25.2744,133.7751,6,7,0,0
6,Russian Federation,61.524,105.3188,5,8,0,0
6,Taiwan; Republic of China (ROC),23.6978,120.9605,5,8,0,0
6,Belgium,50.5039,4.4699,5,9,0,0
6,Spain,40.4637,-3.7492,5,10,0,0
6,Korea Republic of,35.9078,127.7669,5,10,0,0
6,India,20.5937,78.9629,4,11,0,0
6,South Africa,-30.5595,22.9375,4,12,0,0
6,Netherlands,52.1326,5.2913,4,13,0,0
6,Venezuela,6.4238,-66.5897,3,14,0,0
6,Egypt,26.8206,30.8025,3,14,0,0
6,Viet Nam,14.0583,108.2772,3,15,0,0
6,Sweden,60.1282,18.6435,3,16,0,0
6,Brazil,-14.235,-51.9253,3,16,0,0
6,Latvia,56.8796,24.6032,2,17,0,0
6,Thailand,15.87,100.9925,2,18,0,0
6,New Zealand,-40.9006,174.886,2,19,0,0
6,Austria,47.5162,14.5501,2,20,0,0
6,Mexico,23.6345,-102.5528,2,20,0,0
6,Colombia,4.5709,-74.2973,2,21,0,0
6,Turkey,38.9637,35.2433,2,22,0,0
6,Norway,60.472,8.4689,1,22,0,0
6,Saudi Arabia,23.8859,45.0792,1,23,0,0
6,Hong Kong,22.3193,114.1694,1,24,0,0
6,Iran (ISLAMIC Republic Of),32.4279,53.688,1,25,0,0
6,Kazakhstan,48.0196,66.9237,1,26,0,0
6,Serbia,44.0165,21.0059,1,26,0,0
6,Israel,31.0461,34.8516,1,27,0,0
6,Denmark,56.2639,9.5018,1,28,0,0
6,Moldova Republic of,47.4116,28.3699,1,28,0,0
6,Greece,39.0742,21.8243,1,28,0,0
6,Dominican Republic,18.7357,-70.1627,1,28,0,0
6,Lithuania,55.1694,23.8813,1,28,0,0
6,Ireland,53.1424,-7.6921,1,28,0,0
6,Chile,-35.6751,-71.543,1,28,0,0
7,United States,37.0902,-95.7129,142,0,129,35
7,China,35.8617,104.1954,29,2,19,4
7,Japan,36.2048,138.2529,18,4,5,1
7,Germany,51.1657,10.4515,9,2,6,1
7,United Kingdom,55.3781,-3.436,8,3,4,1
7,France,46.2276,2.2137,8,4,2,1
7,Canada,56.1304,-106.3468,7,4,2,0
7,Indonesia,-0.7893,113.9213,6,5,1,0
7,Italy,41.8719,12.5674,6,6,0,0
7,Australia,-25.2744,133.7751,6,7,0,0
