,mag,depth,latitude,longitude
mag,1.0,-0.10781863482343594,-0.07555162881367788,-0.13506278315181158
depth,-0.10781863482343594,1.0,0.05175944073814065,0.3790940864016605
latitude,-0.07555162881367788,0.05175944073814065,1.0,0.6333980534450042
longitude,-0.13506278315181158,0.3790940864016605,0.6333980534450042,1.0
