,count,mean,std,min,25%,50%,75%,max,skew,kurtosis
mag,2792.0,4.477722063037249,0.43944458296581557,2.3,4.3,4.4,4.6,7.8,1.0864328469303364,8.043951134531001
depth,2792.0,74.46928044412607,63.25171441333045,0.0,10.0,48.315,148.04749999999999,239.4,0.397468319928134,-1.5051519929757953
latitude,2792.0,3.7100507879656166,4.599656179684211,-4.5,-0.9776750000000001,5.2974499999999995,6.8792,13.2022,-0.17707110584451888,-1.166660104167992
longitude,2792.0,-76.24120573065903,3.3181830379434625,-81.9976,-79.25165,-76.85405,-73.05995,-66.6151,0.16560189837893516,-1.1100236816211457
